epoch,train_loss,train_acc,val_loss,val_acc
1,0.614024,0.777697,0.494525,0.841838
2,0.492567,0.843422,0.492331,0.841838
3,0.507917,0.834989,0.493062,0.841838
4,0.508970,0.833511,0.494017,0.841838
5,0.491220,0.843439,0.493874,0.841838
6,0.490998,0.843354,0.492978,0.841838
7,0.493399,0.843418,0.493212,0.841838
8,0.490432,0.843377,0.492811,0.841838
9,0.492246,0.843226,0.492881,0.841838
10,0.484074,0.843338,0.482131,0.841838
11,0.477972,0.843340,0.480232,0.841838
12,0.476782,0.843350,0.478243,0.841838
13,0.475639,0.843266,0.477428,0.841838
14,0.474425,0.843385,0.475990,0.841838
15,0.471663,0.843386,0.472436,0.841838
16,0.469686,0.843425,0.471729,0.841838
17,0.469499,0.843344,0.471835,0.841838
18,0.469527,0.843292,0.471555,0.841838
19,0.469368,0.843360,0.471594,0.841847
20,0.469016,0.843339,0.471447,0.841847
