epoch,train_loss,train_acc,val_loss,val_acc
1,0.488392,0.838799,0.474768,0.843525
2,0.468536,0.843278,0.467840,0.843937
3,0.467571,0.843267,0.467829,0.844099
4,0.466543,0.843293,0.466279,0.844112
5,0.464918,0.843374,0.449398,0.845206
6,0.441321,0.845276,0.412065,0.849562
7,0.413888,0.848731,0.395757,0.851352
8,0.398594,0.851372,0.387821,0.853344
9,0.390466,0.853025,0.381102,0.854913
10,0.385379,0.854256,0.377424,0.855624
11,0.381657,0.855299,0.375047,0.857254
12,0.378896,0.856175,0.373138,0.857508
13,0.377156,0.856834,0.375005,0.856155
14,0.375689,0.857292,0.372143,0.857987
15,0.374354,0.857824,0.370801,0.858314
16,0.373542,0.858053,0.371232,0.857966
17,0.372737,0.858363,0.372210,0.857595
18,0.372361,0.858527,0.372122,0.857653
19,0.372216,0.858596,0.372268,0.857409
20,0.372078,0.858628,0.372453,0.857292
