epoch,train_loss,train_acc,val_loss,val_acc
1,0.498379,0.836779,0.489392,0.843107
2,0.470227,0.843224,0.469908,0.842898
3,0.468573,0.843192,0.468308,0.843046
4,0.468095,0.843192,0.468201,0.842982
5,0.467365,0.843179,0.468261,0.843007
6,0.467587,0.843192,0.467490,0.843116
7,0.467056,0.843193,0.466772,0.843056
8,0.466880,0.843193,0.467104,0.843020
9,0.466673,0.843218,0.466624,0.843067
10,0.466310,0.843226,0.465906,0.843122
11,0.466225,0.843239,0.465089,0.843159
12,0.464576,0.843285,0.460736,0.843381
13,0.460863,0.843513,0.453312,0.844029
14,0.457574,0.843849,0.448620,0.844550
15,0.454566,0.844050,0.444197,0.844756
16,0.452462,0.844252,0.441263,0.845159
17,0.450680,0.844399,0.439472,0.845420
18,0.450070,0.844535,0.438807,0.845554
19,0.449452,0.844624,0.438733,0.845550
20,0.449234,0.844681,0.439066,0.845504
