FPR,TPR,Threshold
0.0,0.0,inf
5.5800457563752025e-05,0.0,0.17540854215621948
0.00011160091512750405,0.0,0.17415013909339905
0.00011160091512750405,0.000481000481000481,0.17185458540916443
0.00016740137269125608,0.000481000481000481,0.17125016450881958
0.00016740137269125608,0.000962000962000962,0.17122021317481995
0.0010044082361475365,0.000962000962000962,0.1640918105840683
0.0010044082361475365,0.001924001924001924,0.16349264979362488
0.002343619217677585,0.001924001924001924,0.1612384170293808
0.002343619217677585,0.002886002886002886,0.1609296053647995
0.0030690251660063614,0.002886002886002886,0.15989015996456146
0.0030690251660063614,0.003367003367003367,0.1597432941198349
0.0039060320294626418,0.003367003367003367,0.15853598713874817
0.0039060320294626418,0.003848003848003848,0.15852241218090057
0.00412923385971765,0.003848003848003848,0.15828905999660492
0.00412923385971765,0.004329004329004329,0.15822285413742065
0.004575637520227666,0.004329004329004329,0.15752160549163818
0.004575637520227666,0.00481000481000481,0.1575000286102295
0.004743038892918922,0.00481000481000481,0.15742728114128113
0.004743038892918922,0.005291005291005291,0.15736360847949982
0.005022041180737682,0.005291005291005291,0.1571057140827179
0.005022041180737682,0.005772005772005772,0.15690794587135315
0.005301043468556442,0.005772005772005772,0.1566067934036255
0.005301043468556442,0.006734006734006734,0.15654313564300537
0.005691646671502707,0.006734006734006734,0.15627743303775787
0.005691646671502707,0.007215007215007215,0.15621960163116455
0.005914848501757715,0.007215007215007215,0.15604761242866516
0.005914848501757715,0.007696007696007696,0.155955508351326
0.00608224987444897,0.007696007696007696,0.15578195452690125
0.00608224987444897,0.008658008658008658,0.1557493507862091
0.006863456280341499,0.008658008658008658,0.1554415374994278
0.006863456280341499,0.00913900913900914,0.15540236234664917
0.007030857653032755,0.00913900913900914,0.15537412464618683
0.007030857653032755,0.00962000962000962,0.15524402260780334
0.007309859940851515,0.00962000962000962,0.15506330132484436
0.007309859940851515,0.010101010101010102,0.15503889322280884
0.0075888622286702755,0.010101010101010102,0.15490113198757172
0.0075888622286702755,0.010582010582010581,0.1548791378736496
0.007644662686234027,0.010582010582010581,0.15486957132816315
0.007644662686234027,0.011544011544011544,0.1548110395669937
0.0082584677194353,0.011544011544011544,0.15456873178482056
0.0082584677194353,0.012025012025012025,0.1545562446117401
0.008314268176999052,0.012025012025012025,0.15453727543354034
0.008314268176999052,0.012506012506012507,0.154512420296669
0.008872272752636572,0.012506012506012507,0.1543264091014862
0.008872272752636572,0.012987012987012988,0.15432219207286835
0.009430277328274091,0.012987012987012988,0.15400515496730804
0.009430277328274091,0.013468013468013467,0.15395434200763702
0.00993248144634786,0.013468013468013467,0.1538120061159134
0.00993248144634786,0.013949013949013949,0.15373682975769043
0.010155683276602868,0.013949013949013949,0.1536688357591629
0.010155683276602868,0.01443001443001443,0.15364478528499603
0.011215891970314156,0.01443001443001443,0.15309421718120575
0.011215891970314156,0.014911014911014911,0.15308400988578796
0.01132749288544166,0.014911014911014911,0.1530442088842392
0.01132749288544166,0.015392015392015393,0.15303181111812592
0.011439093800569164,0.015392015392015393,0.15297214686870575
0.011439093800569164,0.015873015873015872,0.15293976664543152
0.01216449974889794,0.015873015873015872,0.15258269011974335
0.01216449974889794,0.016354016354016353,0.15257200598716736
0.012331901121589196,0.016354016354016353,0.15251438319683075
0.012331901121589196,0.016835016835016835,0.1524519920349121
0.012555102951844204,0.016835016835016835,0.15235640108585358
0.012555102951844204,0.017316017316017316,0.1523076295852661
0.013113107527481726,0.017316017316017316,0.1521669179201126
0.013113107527481726,0.017797017797017797,0.15216536819934845
0.013224708442609229,0.017797017797017797,0.15213298797607422
0.013224708442609229,0.01827801827801828,0.15211628377437592
0.013336309357736734,0.01827801827801828,0.1520719677209854
0.013336309357736734,0.01875901875901876,0.1519961655139923
0.013726912560682997,0.01875901875901876,0.15189027786254883
0.013726912560682997,0.01924001924001924,0.1518639475107193
0.013838513475810502,0.01924001924001924,0.15174704790115356
0.013838513475810502,0.019721019721019722,0.15172483026981354
0.014396518051448022,0.019721019721019722,0.15148770809173584
0.014396518051448022,0.020202020202020204,0.15148212015628815
0.014508118966575527,0.020202020202020204,0.15143898129463196
0.014508118966575527,0.02068302068302068,0.15143735706806183
0.014787121254394285,0.02068302068302068,0.15139740705490112
0.014787121254394285,0.021164021164021163,0.1513911783695221
0.015903130405669326,0.021164021164021163,0.15112660825252533
0.015903130405669326,0.021645021645021644,0.15112650394439697
0.016237933151051837,0.021645021645021644,0.15099075436592102
0.016237933151051837,0.022126022126022125,0.15096202492713928
0.016572735896434352,0.022126022126022125,0.1508892923593521
0.016572735896434352,0.022607022607022607,0.15088452398777008
0.016684336811561853,0.022607022607022607,0.15085217356681824
0.016684336811561853,0.023088023088023088,0.15084683895111084
0.017242341387199375,0.023088023088023088,0.15070761740207672
0.017242341387199375,0.02356902356902357,0.15070407092571259
0.017409742759890632,0.02356902356902357,0.15062254667282104
0.017409742759890632,0.02405002405002405,0.15060721337795258
0.017465543217454384,0.02405002405002405,0.15060384571552277
0.017465543217454384,0.025012025012025013,0.15058693289756775
0.01768874504770939,0.025012025012025013,0.15047118067741394
0.01768874504770939,0.025493025493025494,0.15046493709087372
0.01874895374142068,0.025493025493025494,0.15022824704647064
0.01874895374142068,0.025974025974025976,0.15017859637737274
0.018804754198984433,0.025974025974025976,0.15013742446899414
0.018804754198984433,0.026455026455026454,0.15013109147548676
0.019753361977568214,0.026455026455026454,0.14994393289089203
0.019753361977568214,0.026936026936026935,0.14992962777614594
0.019976563807823224,0.026936026936026935,0.1498691588640213
0.020032364265386977,0.027417027417027416,0.1498585045337677
0.020032364265386977,0.027898027898027897,0.14985497295856476
0.02014396518051448,0.027898027898027897,0.14982110261917114
0.02014396518051448,0.02886002886002886,0.14979630708694458
0.020367167010769488,0.02886002886002886,0.14974665641784668
0.020367167010769488,0.029822029822029823,0.1497354358434677
0.020478767925896993,0.029822029822029823,0.14972087740898132
0.020478767925896993,0.030303030303030304,0.1497104912996292
0.020701969756152,0.030303030303030304,0.14966589212417603
0.020701969756152,0.030784030784030785,0.14965607225894928
0.02159477707717203,0.030784030784030785,0.14951056241989136
0.02159477707717203,0.031265031265031266,0.14950139820575714
0.02176217844986329,0.031265031265031266,0.1494823545217514
0.02176217844986329,0.031746031746031744,0.14947234094142914
0.0220969811952458,0.031746031746031744,0.14938752353191376
0.0220969811952458,0.03222703222703223,0.1493857353925705
0.022152781652809553,0.03222703222703223,0.1493758261203766
0.022152781652809553,0.03270803270803271,0.1493644118309021
0.022766586686010826,0.03270803270803271,0.14922985434532166
0.022766586686010826,0.03318903318903319,0.14922386407852173
0.02315718988895709,0.03318903318903319,0.14916862547397614
0.02315718988895709,0.03367003367003367,0.14916357398033142
0.023268790804084595,0.03367003367003367,0.1491469293832779
0.023268790804084595,0.034151034151034154,0.14914414286613464
0.023324591261648344,0.034151034151034154,0.14912444353103638
0.023324591261648344,0.03511303511303511,0.14910069108009338
0.02432899949779588,0.03511303511303511,0.14897429943084717
0.02432899949779588,0.035594035594035595,0.1489710956811905
0.024440600412923386,0.035594035594035595,0.1489487588405609
0.024440600412923386,0.03607503607503607,0.14891882240772247
0.024942804530997155,0.03607503607503607,0.14883393049240112
0.024942804530997155,0.03655603655603656,0.14882799983024597
0.026616818257909715,0.03655603655603656,0.1485471874475479
0.026616818257909715,0.037037037037037035,0.14853934943675995
0.02672841917303722,0.037037037037037035,0.14852936565876007
0.02672841917303722,0.03751803751803752,0.1485268920660019
0.027677026951621005,0.03751803751803752,0.14834924042224884
0.027677026951621005,0.03848003848003848,0.14830909669399261
0.02784442832431226,0.03848003848003848,0.14829261600971222
0.02784442832431226,0.03896103896103896,0.14829041063785553
0.028235031527258522,0.03896103896103896,0.14823494851589203
0.028235031527258522,0.039442039442039445,0.1482301503419876
0.02890463701802355,0.039442039442039445,0.14810669422149658
0.02890463701802355,0.03992303992303992,0.14808747172355652
0.029072038390714802,0.03992303992303992,0.14807474613189697
0.029072038390714802,0.04040404040404041,0.14807182550430298
0.029127838848278555,0.04040404040404041,0.14805997908115387
0.029127838848278555,0.04136604136604136,0.1480526179075241
0.02923943976340606,0.04136604136604136,0.1480313539505005
0.02923943976340606,0.04184704184704185,0.1480240672826767
0.030132247084426092,0.04184704184704185,0.14788953959941864
0.030132247084426092,0.042328042328042326,0.1478414684534073
0.031025054405446124,0.042328042328042326,0.14771316945552826
0.031025054405446124,0.04280904280904281,0.14769534766674042
0.03169465989621115,0.04280904280904281,0.14761234819889069
0.03169465989621115,0.04329004329004329,0.14760687947273254
0.03225266447184867,0.04329004329004329,0.14756402373313904
0.03225266447184867,0.04377104377104377,0.14756356179714203
0.032308464929412424,0.04377104377104377,0.14756299555301666
0.032308464929412424,0.04425204425204425,0.14754535257816315
0.032364265386976176,0.04425204425204425,0.14753498136997223
0.032364265386976176,0.044733044733044736,0.14752624928951263
0.03281066904748619,0.044733044733044736,0.14746695756912231
0.03281066904748619,0.04521404521404521,0.14744773507118225
0.033312873165559954,0.04521404521404521,0.1473919004201889
0.033312873165559954,0.046176046176046176,0.14738471806049347
0.03336867362312371,0.046176046176046176,0.14737993478775024
0.03336867362312371,0.046657046657046654,0.14736641943454742
0.03370347636850622,0.046657046657046654,0.14734183251857758
0.03370347636850622,0.0481000481000481,0.14731965959072113
0.034373081859271244,0.0481000481000481,0.14724160730838776
0.034373081859271244,0.04858104858104858,0.14724083244800568
0.034428882316835,0.04858104858104858,0.1472305804491043
0.034428882316835,0.049062049062049064,0.14722885191440582
0.03498688689247252,0.049062049062049064,0.14715665578842163
0.03498688689247252,0.04954304954304954,0.1471504122018814
0.03526588918029128,0.04954304954304954,0.1471310406923294
0.03526588918029128,0.050505050505050504,0.14711129665374756
0.03532168963785503,0.050505050505050504,0.14708951115608215
0.03532168963785503,0.05098605098605099,0.14707690477371216
0.035433290552982534,0.05098605098605099,0.14706116914749146
0.035433290552982534,0.05146705146705147,0.147060826420784
0.035879694213492554,0.05146705146705147,0.1470247209072113
0.035879694213492554,0.05194805194805195,0.14702215790748596
0.03643769878913007,0.05194805194805195,0.14694298803806305
0.03643769878913007,0.05242905242905243,0.1469166874885559
0.036493499246693824,0.05242905242905243,0.14689381420612335
0.036493499246693824,0.05291005291005291,0.14688639342784882
0.036716701076948834,0.05291005291005291,0.14684990048408508
0.036716701076948834,0.05339105339105339,0.14683708548545837
0.03699570336476759,0.05339105339105339,0.14679382741451263
0.03699570336476759,0.05387205387205387,0.146788090467453
0.03705150382233134,0.05387205387205387,0.14676988124847412
0.03705150382233134,0.054353054353054354,0.14676697552204132
0.037107304279895094,0.054353054353054354,0.1467656046152115
0.037107304279895094,0.05483405483405483,0.14676181972026825
0.037330506110150104,0.05483405483405483,0.14674299955368042
0.037330506110150104,0.05531505531505532,0.1467282474040985
0.037386306567713856,0.05531505531505532,0.14672796428203583
0.037386306567713856,0.055796055796055795,0.14672009646892548
0.038390714803861394,0.055796055796055795,0.14662769436836243
0.038390714803861394,0.05675805675805676,0.14661654829978943
0.03917192120975392,0.05675805675805676,0.14650826156139374
0.03917192120975392,0.05723905723905724,0.14649519324302673
0.04084593493666648,0.05723905723905724,0.1462324559688568
0.04084593493666648,0.05772005772005772,0.14622922241687775
0.04106913676692149,0.05772005772005772,0.14620782434940338
0.04106913676692149,0.0582010582010582,0.14620108902454376
0.04123653813961275,0.0582010582010582,0.1461917608976364
0.04123653813961275,0.05916305916305916,0.14618554711341858
0.04185034317281402,0.05916305916305916,0.14611490070819855
0.04185034317281402,0.059644059644059645,0.1461086869239807
0.04212934546063278,0.059644059644059645,0.14609386026859283
0.04212934546063278,0.06012506012506012,0.14609000086784363
0.042185145918196526,0.06012506012506012,0.1460878700017929
0.042185145918196526,0.06060606060606061,0.14607912302017212
0.04251994866357904,0.06060606060606061,0.1460471898317337
0.04251994866357904,0.061087061087061086,0.14604157209396362
0.04291055186652531,0.061087061087061086,0.14600124955177307
0.04291055186652531,0.06156806156806157,0.14599572122097015
0.04296635232408906,0.06156806156806157,0.14599551260471344
0.04296635232408906,0.06204906204906205,0.14598000049591064
0.04397076056023659,0.06204906204906205,0.14588353037834167
0.04397076056023659,0.06253006253006253,0.14587640762329102
0.04486356788125662,0.06253006253006253,0.14577831327915192
0.04486356788125662,0.06301106301106302,0.14576980471611023
0.04508676971151163,0.06301106301106302,0.14573122560977936
0.04508676971151163,0.06349206349206349,0.14570948481559753
0.04653758160816919,0.06349206349206349,0.14553700387477875
0.04653758160816919,0.06397306397306397,0.14553630352020264
0.04676078343842419,0.06397306397306397,0.1455005407333374
0.04676078343842419,0.06445406445406446,0.14547808468341827
0.04692818481111545,0.06445406445406446,0.145469531416893
0.04692818481111545,0.06493506493506493,0.14545272290706635
0.047262987556497965,0.06493506493506493,0.14540791511535645
0.047262987556497965,0.06541606541606541,0.1454067975282669
0.048323196250209255,0.06541606541606541,0.1452934741973877
0.048323196250209255,0.0658970658970659,0.14529037475585938
0.048378996707773,0.0658970658970659,0.14527727663516998
0.048378996707773,0.06637806637806638,0.14526274800300598
0.048490597622900505,0.06637806637806638,0.1452600210905075
0.048490597622900505,0.06685906685906685,0.14525370299816132
0.04949500585904804,0.06685906685906685,0.14514410495758057
0.04949500585904804,0.06734006734006734,0.14514151215553284
0.04988560906199431,0.06734006734006734,0.14509500563144684
0.04988560906199431,0.06782106782106782,0.14508970081806183
0.05033201272250432,0.06782106782106782,0.14506018161773682
0.05033201272250432,0.06878306878306878,0.14504241943359375
0.05049941409519558,0.06878306878306878,0.14502418041229248
0.05049941409519558,0.06926406926406926,0.14502373337745667
0.05077841638301434,0.06926406926406926,0.14498208463191986
0.05077841638301434,0.06974506974506975,0.1449761688709259
0.050834216840578095,0.06974506974506975,0.14497137069702148
0.050834216840578095,0.07022607022607022,0.14496693015098572
0.0510574186708331,0.07022607022607022,0.1449471116065979
0.0510574186708331,0.0707070707070707,0.14494168758392334
0.0511690195859606,0.0707070707070707,0.14493966102600098
0.0511690195859606,0.07118807118807119,0.14493708312511444
0.05178282461916188,0.07118807118807119,0.14488907158374786
0.05178282461916188,0.07166907166907167,0.1448790729045868
0.052061826906980635,0.07166907166907167,0.14485669136047363
0.052061826906980635,0.07215007215007214,0.14485633373260498
0.05222922827967189,0.07215007215007214,0.1448500007390976
0.05222922827967189,0.07263107263107263,0.14484600722789764
0.05239662965236315,0.07263107263107263,0.14483509957790375
0.05239662965236315,0.07311207311207311,0.14483094215393066
0.052731432397745664,0.07311207311207311,0.1447959840297699
0.052731432397745664,0.0735930735930736,0.1447850912809372
0.05278723285530942,0.0735930735930736,0.14477914571762085
0.05278723285530942,0.07407407407407407,0.1447749137878418
0.05379164109145695,0.07407407407407407,0.14467260241508484
0.05379164109145695,0.07455507455507455,0.14467178285121918
0.0538474415490207,0.07455507455507455,0.14466740190982819
0.0538474415490207,0.07503607503607504,0.14466625452041626
0.05390324200658445,0.07503607503607504,0.1446598619222641
0.05390324200658445,0.07551707551707551,0.14464521408081055
0.05446124658222198,0.07551707551707551,0.14455075562000275
0.05446124658222198,0.075998075998076,0.14455001056194305
0.05496345070029574,0.075998075998076,0.14445710182189941
0.05496345070029574,0.07647907647907648,0.1444513499736786
0.05529825344567826,0.07647907647907648,0.14443695545196533
0.05529825344567826,0.07696007696007696,0.1444239616394043
0.055856258021315774,0.07696007696007696,0.14439471065998077
0.055856258021315774,0.07744107744107744,0.14438070356845856
